University_Name,IA ID,University_Type,IA_City,Former_Name,Name _Change _Date,Address,Establishment,Website_Link,Recognizing_Body,Date_of_Extration,UGC_Source_Link
Puducherry Technological University,Not Found,(State University),Puducherry,NA,NA,Pillaichavady Puducherry 605014,05.09.2020,https://www.ptuniv.edu.in/,University Grants Commission (UGC),19/02/23,https://www.ugc.ac.in/pdfnews/46305564-Degree-Specification.pdf
Punjab Agricultural University,356477,(State University),Ludhiana,NA,NA,Ferozepur Road Ludhiana-141 004 Punjab. .,1962,https://www.pau.edu/,University Grants Commission (UGC),18/02/23,https://www.ugc.ac.in/pdfnews/46305564-Degree-Specification.pdf
Punjab Engineering College,375110,(Deemed University),Chandigarh,NA,NA,Chandigarh-160 009.,16.10.2003,https://pec.ac.in/contact-us,University Grants Commission (UGC),12/02/23,https://www.ugc.ac.in/pdfnews/46305564-Degree-Specification.pdf
Punjabi University,305720,(State University),Patiala,NA,NA,Rajpura Road Patiala-147 002 Punjab. .,1962,http://www.punjabiuniversity.ac.in/,University Grants Commission (UGC),19/02/23,https://www.ugc.ac.in/pdfnews/46305564-Degree-Specification.pdf
Punyashlok Ahilyadevi Holkar Solapur University (formerly Solapur University),330497,(State University),Solapur,Solapur University,NA,Solapur Solapur Pune National Highway Kegaon Solapur 413 255 Maharashtra. .,2004,http://www.sus.ac.in/,University Grants Commission (UGC),19/02/23,https://www.ugc.ac.in/pdfnews/46305564-Degree-Specification.pdf
Purnea University,Not Found,(State University),Purnea,NA,NA,Purnea – 854301 Bihar.,17.08.2016,https://www.purneauniversity.ac.in/,University Grants Commission (UGC),19/02/23,https://www.ugc.ac.in/pdfnews/46305564-Degree-Specification.pdf
Quantum University,Not Found,(Private University),Roorkee,NA,NA,Mandawar (22km Milestone) Roorkee-Dehrdun Highway (NH-73) Roorkee – 247167 Uttarakhand. (Private Univerity),07.04.2017,https://quantumuniversity.edu.in/,University Grants Commission (UGC),14/02/23,https://www.ugc.ac.in/pdfnews/46305564-Degree-Specification.pdf
R.K. University,Not Found,(Private University),Rajkot,NA,NA,Rajkot-Bhavnagar Highway Kasturbadham Rajkot Gujarat.,14.10.2011,https://www.rku.ac.in/,University Grants Commission (UGC),18/02/23,https://www.ugc.ac.in/pdfnews/46305564-Degree-Specification.pdf
R.N.B. Global University,Not Found,(Private University),Bikaner,NA,NA,RNB Global City Ganganagar Road Bikaner 334601 Rajasthan.,27.04.2015,https://www.rnbglobal.edu.in/,University Grants Commission (UGC),18/02/23,https://www.ugc.ac.in/pdfnews/46305564-Degree-Specification.pdf
Rabindra Bharati University,Not Found,(State University),Kolkata,NA,NA,Emerald Bower Campus 56-A BT Road Kolkata-700 050. .,1962,https://www.rbu.ac.in/,University Grants Commission (UGC),18/02/23,https://www.ugc.ac.in/pdfnews/46305564-Degree-Specification.pdf
Rabindranath Tagore University,Not Found,(State University),Hojai,NA,NA,Hojai- 782435 Assam,25.10.2017,https://rtuassam.ac.in/,University Grants Commission (UGC),19/02/23,https://www.ugc.ac.in/pdfnews/46305564-Degree-Specification.pdf
Rabindranath Tagore University (Formerly AISECT University) Village – Mendua,Not Found,(Private University),Hazaribagh,AISECT University,NA,Bhopal-Chiklod Road Tehsil – Goharganj Dist. – Raisen Madhya Pradesh.,30.12.2010,https://www.aisectuniversityjharkhand.ac.in/,University Grants Commission (UGC),12/02/23,https://www.ugc.ac.in/pdfnews/46305564-Degree-Specification.pdf
Radha Govind University,Not Found,(Private University),Ramgarh,NA,NA,Radha Govind Nagar Lalki Ghati Ramgarh 829122 Jharkhand,11.10.2018,https://www.rguniversity.org/,University Grants Commission (UGC),14/02/23,https://www.ugc.ac.in/pdfnews/46305564-Degree-Specification.pdf
Raffles University,Not Found,(Private University),Neemrana,NA,NA,Japanese Zone National Highway 8 Neemrana-201 705 Rajasthan.,27.03.2011,https://rafflesuniversity.edu.in/,University Grants Commission (UGC),19/02/23,https://www.ugc.ac.in/pdfnews/46305564-Degree-Specification.pdf
Rai Technology University,Not Found,(Private University),Bangalore,NA,NA,Doddaballapur Nelmangala Road SH-74 Off Highway 207 Doddaballapur Taluk Bangalore-561204 Karnataka,17.09.2014,https://raitechuniversity.in/,University Grants Commission (UGC),19/02/23,https://www.ugc.ac.in/pdfnews/46305564-Degree-Specification.pdf
Rai University,367320,(Private University),Ahmedabad,NA,NA,Ahmedabad Gujarat.,02.05.2012,https://www.raiuniversity.edu/,University Grants Commission (UGC),14/02/23,https://www.ugc.ac.in/pdfnews/46305564-Degree-Specification.pdf
